Start,End,Location,Session Topic,Event Title,Order,Session Description,People,Event Format,Event Description,Session Format,Session Chair
10/19 07:30,10/19 08:30,Prefunction,Registration,,,,,,,Registration,
10/19 08:30,10/19 10:00,San Jose Ballroom Salon 3 & 4,Welcome and Plenary Session,,,,,,,Plenary,
10/19 08:30,10/19 10:00,San Jose Ballroom Salon 3 & 4,Welcome and Plenary Session,Software as Scholarship,1,,Dr. Maria Chen,Keynote,"Research software is scholarship. This keynote argues the case with raw <em>HTML</em> that must not pass through, plus a [link](https://example.org/keynote) that must.",,
10/19 10:00,10/19 10:30,Anywhere,Morning Break,,,,,,,Break,
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 1 & 2,RAG Assistants,Retrieval With Receipts,2,,"Ada Lovelace, Grace Hopper and Alan Turing",Paper,"RAG assistants often cite sources they never read.

We present a receipts-first design where every generated claim carries a link to the retrieved chunk that supports it, evaluated on three archives with **12% fewer** unsupported claims.",Talks,Jordan Ramirez
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 1 & 2,RAG Assistants,Grounded Notebooks,1,,"Rosalind Franklin, Barbara McClintock, and Katherine Johnson",Talk,A single-paragraph abstract with `code` and **bold** text.,,
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 5 & 6,Case Studies Demonstrating RSE Impacts Part I,,,,,,,Talks,
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 5 & 6,Case Studies Demonstrating RSE Impacts Part I,Session Chair: TBD,,,,,,,
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 5 & 6,Case Studies Demonstrating RSE Impacts Part I,Automating Data-Driven Alternative Text in Quarto-based NOAA Fisheries Reports by Sophie Breitbart,1,,,,,,
10/19 10:30,10/19 12:00,San Jose Ballroom Salon 5 & 6,Case Studies Demonstrating RSE Impacts Part I,"Poisonous Books: Detecting Toxic Pigments in Victorian Bookbindings by Kevin Bhimani, Asritha Polu and Sunita Chandrasekaran",2,,,,,,
10/19 10:30,10/19 12:00,Willow Glen Room,AI Assisted Code Development,,,,,,,Talks,Casey Lin
10/19 10:30,10/19 12:00,Willow Glen Room,AI Assisted Code Development,Pair Programming Field Notes,1,,,,,,
10/19 10:30,10/19 12:00,Willow Glen Room,AI Assisted Code Development,Scaling Support by automating triage,2,,,,,,
10/19 12:00,10/19 13:30,Anywhere,Lunch Break,,,,,,,Meal,
10/19 13:30,10/19 15:00,San Jose Ballroom Salon 1 & 2,Notebooks,,,,,,,Talks,
10/19 13:30,10/19 15:00,San Jose Ballroom Salon 5 & 6,Lessons from Training Users & RSEs,,,,,,,Talks,
10/19 13:30,10/19 15:00,Willow Glen Room,AI + Software Quality,,,,,,,Talks,
10/19 15:00,10/19 15:30,Anywhere,Afternoon Break,,,,,,,Break,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 3 & 4,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 3 & 4,Afternoon Tech Session (Workshops / BoFs),Sponsor Showcase & Demos,1,,Jamie Fox,Other,,,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 3 & 4,Afternoon Tech Session (Workshops / BoFs),Community meetup,2,,,Other,,,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 1 & 2,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 1 & 2,Afternoon Tech Session (Workshops / BoFs),Python Packaging From Zero,1,,Priya N. and Lee Wong,Workshop,"Hands-on workshop: build, test, and publish a package from an empty directory.",,
10/19 15:30,10/19 17:00,San Jose Ballroom Salon 5 & 6,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/19 15:30,10/19 17:00,Willow Glen Room,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/19 17:15,10/19 18:30,Prefunction,Posters (light food),,,,,,,Posters,
10/19 17:15,10/19 18:30,Prefunction,Posters (light food),Reproducible Pipelines on a Budget,1,,Chris Woodruff and Dana Scully,Poster,"Cheap, cacheable pipelines for small labs.",,
10/19 17:15,10/19 18:30,Prefunction,Posters (light food),Testing Legacy Fortran,2,,Elena Petrova,Poster,,,
10/19 18:30,10/19 19:30,Anywhere,Dinner on your own,,,,,,,Meal,
10/20 07:30,10/20 08:30,Prefunction,Registration,,,,,,,Registration,
10/20 08:30,10/20 10:00,San Jose Ballroom Salon 3 & 4,"Plenary II, Sponsor Talks",,,,,,,Plenary,
10/20 10:00,10/20 10:30,Anywhere,Morning Break,,,,,,,Break,
10/20 10:30,10/20 12:00,San Jose Ballroom Salon 1 & 2,RSE Practices in the Age of AI Part I,,,,,,,Talks,
10/20 10:30,10/20 12:00,San Jose Ballroom Salon 5 & 6,The Human Factor,,,,,,,Talks,Sam Okafor
10/20 10:30,10/20 12:00,Willow Glen Room,HPC + AI,,,,,,,Talks,
10/20 10:30,10/20 12:00,Prefunction,Job Fair,,,,,,,,
10/20 12:00,10/20 13:30,Anywhere,Lunch Break,,,,,,,Meal,
